id,Window_size,Source_port,Destination_port,First_packet_size,forward_packets,forward_total_bytes,Min_forward_inter_arrival_time_difference,Max_forward_inter_arrival_time_difference,Mean_forward_inter_arrival_time_difference,STD_forward_inter_arrival_time_difference,Mean_forward_packets,STD_forward_packets,backward_packets,backward_total_bytes,Min_backward_inter_arrival_time_difference,Max_backward_inter_arrival_time_difference,Mean_backward_inter_arrival_time_difference,STD_backward_inter_arrival_time_difference,Mean_backward_packets,STD_backward_packets,Mean_backward_TTL_value,Total_packets,Minimum_packet_size,Maximum_packet_size,Mean_packet_size,class,Maximum_backward_packet,Maximum_forward_packet,Minimum_backward_packet,Minimum_forward_packet
1965,8192,51526,80,20.0,4,92,0.007522999999309831,6.4545020000005024,2.1611576666664405,3.7181517787517797,23.0,6.0,3,64,0.017488999999841326,6030.180077,2012.218235,3479.6585163057384,21.33333333333333,2.309401076758503,64.0,7,20,32,22.285714285714285,normal,24.0,32.0,20.0,20.0
1966,8192,51527,80,20.0,4,92,0.007329000000027007,6.4547750000001525,2.160852666666869,3.7186516131428635,23.0,6.0,3,64,0.016652000000249245,6030.180555,2012.2182143333328,3479.6589486882617,21.33333333333333,2.309401076758503,64.0,7,20,32,22.285714285714285,normal,24.0,32.0,20.0,20.0
1967,8192,51528,80,20.0,4,92,0.007486000000426429,6.447239000000081,2.1588046666668865,3.7138998646685986,23.0,6.0,3,64,0.017206999999871186,6030.185641,2012.2175716666668,3479.6639061000337,21.33333333333333,2.309401076758503,64.0,7,20,32,22.285714285714285,normal,24.0,32.0,20.0,20.0
1968,8192,51529,80,307.0,33,1253,0.00249100000019098,10.094178000000284,4.377802968750018,4.949412782484706,37.96969696969697,68.78248543801178,81,83756,3.0000000151630957e-05,6030.193324,76.17625485185185,669.8374810247443,1034.0246913580247,629.9452352250281,64.0,114,20,1440,745.6929824561405,normal,1440.0,307.0,20.0,20.0
1969,8192,51530,80,302.0,26,825,0.0025009999999383572,10.104769999999917,4.832990040000004,5.042898840822486,31.73076923076923,55.17286122166057,67,72132,0.0,6030.200707,91.80621025373136,736.4927808527838,1076.5970149253728,607.5974808858517,64.0,93,20,1440,784.483870967742,normal,1440.0,302.0,20.0,20.0
1970,8192,51531,80,373.0,18,736,0.003549000000020897,10.141748000000009,7.108120764705906,4.668723248494762,40.888888888888886,82.92795518782545,19,3931,4.999999964638846e-05,6030.207926,323.7386063684212,1381.8925890934922,206.89473684210535,456.4134206246743,64.0,37,20,1440,126.13513513513512,normal,1440.0,373.0,20.0,20.0
1971,8192,51532,80,375.0,17,718,0.0048630000001139715,10.105727000000117,7.552549875000013,4.442855508563185,42.23529411764706,85.79592750515953,18,2397,6.300000040937448e-05,6030.208774000002,341.72445127777775,1419.6657806102305,133.16666666666666,342.91934397258524,64.0,35,20,1440,89.0,normal,1440.0,375.0,20.0,20.0
1972,8192,51533,80,355.0,52,1753,0.0006880000000819564,10.161784999999327,3.6899749803921496,4.8037027461790505,33.71153846153846,66.33407326569129,216,260555,0.0,6030.897514,28.792029490740727,410.30058919381895,1206.273148148148,511.233769330168,64.0,268,20,1440,978.7611940298508,normal,1440.0,369.0,20.0,20.0
1973,8192,51534,80,300.0,27,1206,0.0010019999999713036,10.11765800000012,6.627101846153858,4.682498740852845,44.66666666666666,85.55160386034224,36,20797,3.3999999686784583e-05,6030.930544,172.31194169444439,1004.3466506778972,577.6944444444445,680.4577375118035,64.0,63,20,1440,349.25396825396825,normal,1440.0,378.0,20.0,20.0
1974,8192,51535,80,330.0,17,673,0.009989000000132364,10.106625999999777,7.5231276874999935,4.329679245289952,39.588235294117645,74.888299172442,16,1012,0.01815199999964534,6030.933971,384.456179625,1505.7323835029322,63.25,171.9362284879678,64.0,33,20,708,51.06060606060606,normal,708.0,330.0,20.0,20.0
1975,8192,51536,80,284.0,17,627,0.0017729999999573922,10.10409399999935,7.475167499999998,4.349645582411407,36.882352941176464,63.740570236840895,16,1036,0.008632000000034168,6034.670244,384.6397464375,1506.6798600588415,64.75,177.93613086348333,64.0,33,20,732,50.39393939393939,normal,732.0,284.0,20.0,20.0
1976,8192,51537,80,726.0,24,1209,0.0012180000003354507,10.069541000000754,5.200038043478265,5.026553660201933,50.375,143.9274613492324,37,25349,3.199999991920777e-05,6034.6713,166.3307028108108,991.5588355133592,685.1081081081081,690.5669886157068,64.0,61,20,1440,435.37704918032784,normal,1440.0,726.0,20.0,20.0
