id,forward_packets,forward_total_bytes,Min_forward_inter_arrival_time_difference,Max_forward_inter_arrival_time_difference,Mean_forward_inter_arrival_time_difference,STD_forward_inter_arrival_time_difference,Mean_forward_packets,STD_forward_packets,backward_packets,backward_total_bytes,Min_backward_inter_arrival_time_difference,Max_backward_inter_arrival_time_difference,Mean_backward_inter_arrival_time_difference,STD_backward_inter_arrival_time_difference,Mean_backward_packets,STD_backward_packets,Mean_backward_TTL_value,Total_packets,Minimum_packet_size,Maximum_packet_size,Mean_packet_size,class,Maximum_backward_packet,Maximum_forward_packet,Minimum_backward_packet,Minimum_forward_packet
2324,17,1747,0.0010540000002947636,10.096566000000166,7.494499125000004,4.420145851527551,102.76470588235294,335.33202378608365,17,1936,7.000000005064066e-05,6601.337472,395.3658994117647,1599.2480040121325,113.88235294117646,344.2531558230333,64,34,20,1440,108.32352941176471,normal,1440.0,1404.0,20.0,20.0
2325,17,720,0.0010710000005929032,10.104624999999942,7.485360000000014,4.363827614528458,42.35294117647059,86.28074899454005,16,961,0.004853000000366592,6602.443231,420.1377641875,1648.6194720687338,60.0625,159.18646037482793,64,33,20,657,50.93939393939394,normal,657.0,377.0,20.0,20.0
2326,4,92,0.021982000000207336,5.597157000000152,1.8823900000000624,3.217084012862813,23.0,6.0,3,64,0.01688099999955739,6602.885753,2202.834252,3810.557400398829,21.333333333333332,2.309401076758503,64,7,20,32,22.285714285714285,normal,24.0,32.0,20.0,20.0
2327,17,825,0.005032000000028347,10.112823999999819,7.504848625000022,4.4032598011881925,48.529411764705884,111.73692185612755,16,703,0.008338000000549073,6603.282321,420.2093201875,1648.8242340962333,43.9375,94.68859047776911,64,33,20,482,46.303030303030305,normal,399.0,482.0,20.0,20.0
2328,8,771,0.0005619999992632074,5.746087999999872,0.8471631428570358,2.1603865680883962,96.375,179.01710812098378,9,367,7.900000036897836e-05,6603.672928,734.3960873333333,2200.979629960706,40.77777777777778,50.243849817111396,85.22222222222223,17,20,537,66.94117647058823,normal,172.0,537.0,20.0,20.0
2329,17,1189,0.0009789999994609389,10.024016000000302,7.518815937499994,4.360988634872205,69.94117647058823,200.00483450039252,16,1049,0.005088000000796455,6607.012603,420.4561341875,1649.7530538335473,65.5625,181.1860806831842,64,33,20,846,67.81818181818181,normal,745.0,846.0,20.0,20.0
2330,18,1924,0.00205900000037218,10.026119999999537,4.490394764705932,4.91074165783827,106.88888888888889,227.41614844852904,18,3504,0.002096999999594118,6609.08119,371.4084937222222,1556.7252641504854,194.66666666666666,429.8608529991728,64,36,20,1420,150.77777777777777,normal,1420.0,937.0,20.0,20.0
2331,16,771,0.013049000000137312,10.065667000000758,7.9871483999999935,4.121603025040395,48.1875,106.65409431115775,17,1234,0.005857000000105472,6609.4304,395.83693247058824,1601.2121970376052,72.58823529411765,147.9873553819419,64,33,20,491,60.75757575757576,normal,491.0,448.0,20.0,20.0
2332,4,92,0.007978999999977532,6.049187000000529,2.022404666666868,3.4872959496186033,23.0,6.0,3,64,0.005767999999989115,6611.042439,2205.699723,3815.139901779922,21.333333333333332,2.309401076758503,64,7,20,32,22.285714285714285,normal,24.0,32.0,20.0,20.0
2333,4,92,0.0063890000001265435,5.825604999999996,1.9478133333332153,3.3582670457938564,23.0,6.0,3,64,0.004847000000154367,6611.262691,2205.698669,3815.3314721789134,21.333333333333332,2.309401076758503,64,7,20,32,22.285714285714285,normal,24.0,32.0,20.0,20.0
